,src,trg,P1,P5,P10,MRR,MAP,method,src,trg,pearson,spearman,neighbor,spect_cond,eff_spect_cond,svg,laplacian,bhattacharyya,jsd,token_overlap,lang_pair,corpus,src_tokens,trg_tokens,token_min,src_vocab,trg_vocab,family_distance,syntax_distance,geo_distance
16,da,hu,0.07400000000000001,0.168,0.217,0.1258319304958148,0.10696404440886376,vecmap_s,da,hu,0.568,0.4952,0.4092,19.3696,13.5918,1.7272,1169.8,0.1452626716019506,0.35480806246663565,0.11421032307890333,da-hu,parallel,1072627,1009437,1009437,16122,18962,7.0,10.0,0.002711011169801547
17,da,no,0.9259999999999999,0.96,0.9670000000000001,0.9417693314504928,0.8666995691389935,vecmap_s,da,no,0.7763,0.7402,0.5521,20.6201,14.1826,0.0308,1057.8,0.02929478359658955,0.16476841242745807,0.3989745564936128,da-no,parallel,6204308,6164129,6164129,58343,58492,3.0,2.0,0.0006894016537467573
18,da,ro,0.138,0.281,0.35,0.20970891249522364,0.1872159356775,vecmap_s,da,ro,0.5798,0.5322,0.4435,20.2825,13.7131,0.3696,1156.2,0.0994333918410289,0.2985308550588386,0.16637698055216998,da-ro,parallel,1266409,1440283,1266409,18030,21473,12.0,6.4999,0.004100935994574284
19,da,tr,0.0547008547008547,0.13846153846153847,0.1794871794871795,0.09730057167387814,0.08695214755583956,vecmap_s,da,tr,0.5309,0.4715,0.4186,19.6438,13.9914,1.2944,1239.0,0.16363144804618446,0.3731410127424378,0.13436339507756132,da-tr,parallel,836933,753181,753181,13537,16180,12.0,19.4999,0.011905812208900635
20,de,cs,0.252,0.445,0.521,0.34625934088169563,0.2990557081783439,vecmap_s,de,cs,0.5579999999999999,0.47600000000000003,0.418,21.3889,13.8301,0.7867,1154.8,0.11283602943424813,0.31729649468332594,0.1763189722637233,cs-de,parallel,3816541,3525796,3525796,41874,51093,10.0,10.833300000000001,0.00011601411404926765
21,de,da,0.426,0.596,0.662,0.5099614757706307,0.4531075601145422,vecmap_s,de,da,0.62,0.5777,0.4048,21.6704,14.328,0.741,1137.0,0.08625885426640759,0.2791489641305492,0.22072852855538397,da-de,parallel,3033147,2920712,2920712,35809,34377,6.0,6.0,0.0010970617995952336
22,de,el,0.07200000000000001,0.156,0.212,0.11679501414788986,0.09672673151826088,vecmap_s,de,el,0.4927,0.4426,0.3809,21.7706,14.0263,1.3527,1270.4,0.11666147680297495,0.3219386707677603,0.09870752053490736,de-el,parallel,1427052,1496036,1427052,19519,22349,9.0,8.1667,0.0029765391761000792
23,de,en,0.609,0.7440000000000001,0.782,0.6712996603790661,0.6214728505466484,vecmap_s,de,en,0.588,0.5524,0.3046,22.8125,13.9303,2.2761,1250.0,0.12434365396226744,0.3292046286804025,0.33682770035352577,de-en,parallel,31686642,33483561,31686642,202711,141286,7.0,6.0,0.002357720030083721
24,de,es,0.359,0.542,0.606,0.4453483240921144,0.3984782147103973,vecmap_s,de,es,0.6256,0.57,0.3797,20.2681,13.4912,2.5061,1137.4,0.10792735914965157,0.3105267639417961,0.27121843133132245,de-es,parallel,7519966,8445679,7519966,70217,60527,16.0,8.0,0.004134973629210892
25,de,fi,0.132,0.23800000000000002,0.292,0.18781998279995168,0.15723080970678927,vecmap_s,de,fi,0.5518,0.48,0.3878,24.3091,15.1934,0.3052,1251.8,0.1299370416266352,0.3368872541582689,0.13245953541402145,de-fi,parallel,2367246,1855705,1855705,28663,33429,9.0,11.3333,0.007882710405959115
26,de,hu,0.156,0.313,0.382,0.2330319352814012,0.20123343281294875,vecmap_s,de,hu,0.5677,0.5196,0.3883,21.1747,13.8901,0.85,1194.0,0.15217128750411024,0.3629507879115739,0.14333491739357798,de-hu,parallel,3074943,2793839,2793839,35886,43491,7.0,9.3332,0.0006828936946335906
27,de,no,0.442,0.612,0.67,0.5230192348366525,0.462390077891874,vecmap_s,de,no,0.6657,0.6191,0.4243,22.6782,14.5077,0.6621,1176.8,0.10157836427435474,0.3011945472411922,0.23299641460821935,de-no,parallel,3796246,3562882,3562882,42212,39509,5.0,5.0,0.0033822605042316267
28,de,ro,0.139,0.313,0.391,0.22337369206029808,0.19887635918038354,vecmap_s,de,ro,0.5711,0.5124,0.397,22.2706,14.0168,1.1144,1247.4,0.10559975067051433,0.3072723774089793,0.19045193508114855,de-ro,parallel,2170975,2384874,2170975,28078,30973,12.0,9.4999,0.0017587236417369034
29,de,tr,0.075,0.18100000000000002,0.24,0.12949175897424786,0.1128968560327771,vecmap_s,de,tr,0.5283,0.4586,0.3578,21.5029,14.3077,1.2754,1243.2,0.16572783206530656,0.3770737319258128,0.1364903593667942,de-tr,parallel,1934197,1651717,1651717,25144,29691,12.0,19.4999,0.007366305315793409
30,el,cs,0.068,0.175,0.21899999999999997,0.1202133879562245,0.10189570050795628,vecmap_s,el,cs,0.5548,0.48200000000000004,0.4041,19.6301,13.2648,1.1968,1222.2,0.10380106763259174,0.30447246303224224,0.08688302604204033,cs-el,parallel,1233524,1055943,1055943,19629,21158,9.0,12.0,0.002655838751112971
31,el,da,0.06,0.162,0.21100000000000002,0.11293480351621145,0.097093909331094,vecmap_s,el,da,0.524,0.4591,0.3886,19.867,13.7222,0.1672,1303.4,0.11009597899898632,0.3137564675937316,0.09213995005087412,da-el,parallel,1002992,901842,901842,16856,14132,9.0,9.1667,0.0066595987132680445
32,el,de,0.073,0.175,0.225,0.12820367091490129,0.10983652895491412,vecmap_s,el,de,0.5126,0.4614,0.36,21.7706,14.0263,1.3527,1252.0,0.10212712454935044,0.3030821105807485,0.09870752053490736,de-el,parallel,1496036,1427052,1427052,22349,19519,9.0,8.1667,0.0029765391761000792
33,el,en,0.435,0.627,0.684,0.5199885484182574,0.4781969794824958,vecmap_s,el,en,0.4104,0.3507,0.2687,20.8227,13.3569,3.2673,1280.2,0.09366753279223748,0.2915076424013596,0.20276972853815933,el-en,parallel,15475412,14936294,14936294,108749,72759,12.0,8.5001,0.010450901080275576
34,el,es,0.213,0.36200000000000004,0.439,0.2891165620509639,0.2581205451449747,vecmap_s,el,es,0.5411,0.4993,0.3869,18.682000000000002,12.9528,2.6827,1178.6,0.08023870059825178,0.2712862474673494,0.14056032196041726,el-es,parallel,2942668,3077026,2942668,37639,30516,15.0,5.8332999999999995,0.009697660009516662
35,el,fi,0.047287899860917935,0.1070931849791377,0.15577190542420027,0.08303859332258334,0.0669618496719096,vecmap_s,el,fi,0.503,0.4398,0.3963,22.0625,14.5139,1.1589,1253.6,0.13585034924491438,0.34419374337909536,0.06968602254818766,el-fi,parallel,889512,660022,660022,15061,14151,8.0,9.833400000000001,0.012748135735179744
36,el,hu,0.046,0.121,0.16699999999999998,0.08838981163827976,0.07369697680746022,vecmap_s,el,hu,0.5143,0.4451,0.384,19.4496,13.32,2.0648,1259.6,0.15769464029284322,0.36836302646342894,0.07562832818912593,el-hu,parallel,1146242,964804,964804,18574,18296,6.0,9.8335,0.0009037436319473402
37,el,no,0.079,0.192,0.264,0.1389463524590304,0.1220129363757963,vecmap_s,el,no,0.4879,0.4313,0.395,20.7108,13.8869,0.1688,1215.6,0.11503333188113755,0.3195112322967398,0.09759137990070194,el-no,parallel,1174528,1056696,1056696,18949,15333,8.0,9.1667,0.01006067870328986
38,el,ro,0.166,0.32,0.387,0.24348832606974874,0.20641281205823972,vecmap_s,el,ro,0.5711,0.5185,0.4389,20.3702,13.4365,0.2518,1206.2,0.0909611464177082,0.2876045115458475,0.10767090007524044,el-ro,parallel,1664966,1680596,1664966,24536,24168,11.0,5.6668,0.0004356973959999122
39,el,tr,0.043,0.11199999999999999,0.161,0.08313280507571474,0.07200395970408079,vecmap_s,el,tr,0.515,0.4559,0.3822,19.7261,13.7035,1.2486,1298.2,0.16585063730263885,0.3771868238274427,0.09613049566237296,el-tr,parallel,1011910,818066,818066,16672,17141,11.0,20.666800000000002,0.0010946799802611373
40,en,cs,0.445,0.647,0.7070000000000001,0.5391696430297354,0.4725112170770586,vecmap_s,en,cs,0.4269,0.3695,0.3259,20.4733,13.1789,0.6475,1214.2,0.13463781076751047,0.33857316039192137,0.2385689374530325,cs-en,parallel,10923853,9661945,9661945,62715,106661,13.0,12.1665,0.0028523539605421755
41,en,da,0.604,0.76,0.802,0.6744994850998176,0.592720376252144,vecmap_s,en,da,0.4716,0.4209,0.3137,20.7311,13.6303,3.1481,1263.0,0.0970702344264388,0.2942694277392248,0.2971377810718607,da-en,parallel,9428735,8855781,8855781,56216,73654,9.0,7.666599999999999,0.0010526867656061034
42,en,de,0.5920000000000001,0.742,0.774,0.6609328051372082,0.5881921380633666,vecmap_s,en,de,0.6091,0.5611,0.3323,22.8125,13.9303,2.2761,1188.8,0.12665872210970872,0.3306833437382156,0.33682770035352577,de-en,parallel,33483561,31686642,31686642,141286,202711,7.0,6.0,0.002357720030083721
43,en,el,0.451,0.65,0.7020000000000001,0.5412775766849441,0.4710079861889651,vecmap_s,en,el,0.4253,0.3681,0.3205,20.8227,13.3569,3.2673,1308.6,0.09884439797266162,0.2979610289492336,0.20276972853815933,el-en,parallel,14936294,15475412,14936294,72759,108749,12.0,8.5001,0.010450901080275576
44,en,es,0.7879999999999999,0.892,0.912,0.833662440839393,0.7429832604906211,vecmap_s,en,es,0.6767,0.6274,0.3743,19.4441,12.8709,0.2263,1117.0,0.09127273767826778,0.2846113452510121,0.4731139518944164,en-es,parallel,81730573,90591845,81730573,238469,265845,19.0,4.3334,0.0040721268097998475
45,en,fi,0.278,0.475,0.541,0.3681836607460255,0.3115836163572805,vecmap_s,en,fi,0.4154,0.3501,0.3258,23.1333,14.4111,3.3136,1377.2,0.20962094495525585,0.40542554464888697,0.16747511272310356,en-fi,parallel,7052337,5356559,5356559,47707,81803,12.0,11.9999,0.00812666073783419
46,en,hu,0.379,0.5670000000000001,0.639,0.4686060439373383,0.3990281817435551,vecmap_s,en,hu,0.4282,0.3613,0.3264,20.277,13.2334,0.4797,1227.0,0.13289008029576407,0.3414304286355611,0.18876157197313487,en-hu,parallel,10479899,9218416,9218416,62579,110002,10.0,12.6666,0.005443435436380595
47,en,no,0.622,0.787,0.8290000000000001,0.6979909709316078,0.6170119985414806,vecmap_s,en,no,0.5561,0.51,0.34,21.6516,13.7928,2.9209,1222.6,0.1078855243931723,0.3095082390533799,0.3122991384437424,en-no,parallel,14609109,13651008,13651008,75082,98546,8.0,6.6666,0.002211662711917417
