;0%;33%;66%;100%
28M;0.940;0.987;0.998;1.0
56M;0.962;0.987;0.999;1.0
112M;0.984;0.998;1.0;1.0
224M;0.999;1.0;1.0;1.0
448M;1.0;1.0;1.0;1.0
