;0%;33%;66%;100%
6.5M;0.912;0.958;0.997;1.0
12.5M;0.939;0.986;0.996;1.0
25M;0.934;0.986;0.995;1.0
50M;0.939;0.986;0.996;1.0
100M;0.953;0.993;0.998;1.0
200M;0.990;0.999;1.0;1.0
400M;0.999;1.0;1.0;1.0
