;0%;33%;66%;100%
28M;0.959;0.990;1.0;1.0
56M;0.968;0.992;1.0;1.0
112M;0.990;0.999;1.0;1.0
224M;0.999;1.0;1.0;1.0
448M;1.0;1.0;1.0;1.0
